Name,RA,DEC,GL,GB,Period (s),Frequency (Hz),DM,W10 (ms),W50 (ms)
J0006+1834,00:06:04.8,+18:34:59,108.172,-42.985,0.69374767047,1.44144628165,12.0,195,82
J0007+7303,00:07:01.7,+73:03:07.4,119.66,10.4631,0.315873190853,3.165827392,0,0,0
J0014+4746,00:14:17.75,47:46:33.4,116.497,-14.6312,1.24069903895,0.805997239145,30.85,142.5,88.7
J0023+0923,00:23:16.87910,+09:23:23.871,111.383,-52.8493,0.00305,327.868852459,14.3,0,0
J0024-7204C,00:23:50.35311,-72:04:31.4926,305.923,-44.8922,0.00575677999551,173.708218966053,24.599,0,0.8
J0024-7204D,00:24:13.87934,-72:04:43.8405,305.881,-44.8933,0.00535757328486,186.651669856838,24.729,0,0.6
J0024-7204E,00:24:11.1036,-72:05:20.1377,305.883,-44.8828,0.00353632915276,282.77910703517,24.230,0,0.9
J0024-7204F,00:24:03.8539,-72:04:42.8065,305.899,-44.8917,0.00262357935251,381.15866365655,24.379,0,0.5
J0024-7204G,00:24:07.9587,-72:04:39.6911,305.891,-44.8933,0.00404037914356,247.50152509652,24.441,0,0.7
J0024-7204H,00:24:06.7014,-72:04:06.795,305.896,-44.9021,0.00321034070935,311.49341784442,24.36,0,0.6
J0024-7204I,00:24:07.9330,-72:04:39.669,305.892,-44.8933,0.00348499206166,286.94469953064,24.42,0,0
J0024-7204J,00:23:59.40735,-72:03:58.7914,305.909,-44.9029,0.00210063354535,476.046858440607,24.5848,0,0.5
J0024-7204L,00:24:03.771,-72:04:56.913,305.898,-44.8878,0.00434616799946,230.08774629150,24.38,0,0.7
J0024-7204M,00:23:54.4877,-72:05:30.741,305.913,-44.8767,0.0036766432176,271.98722878893,24.42,0,1.2
J0024-7204N,00:24:09.1865,-72:04:28.880,305.89,-44.8965,0.00305395434626,327.44431861755,24.56,0,0
J0024-7204O,00:24:04.6512,-72:04:53.7552,305.897,-44.8888,0.00264334329724,378.30878836037,24.363,0,0
